Date,sentiment_mean,sentiment_median,sentiment_std,n_news,pos_ratio,neg_ratio,neu_ratio
2009-04-28,-0.999772846698761,-0.999772846698761,,1,0.0,1.0,0.0
2009-04-30,-0.4999464154243469,-0.4999464154243469,0.7070310011529249,2,0.0,0.5,0.5
2009-05-07,0.9997145533561707,0.9997145533561707,,1,1.0,0.0,0.0
2009-05-11,0.12718170881271362,0.12718170881271362,1.233396754471901,2,0.5,0.5,0.0
2009-05-29,0.0,0.0,,1,0.0,0.0,1.0
2009-06-01,0.0,0.0,0.0,2,0.0,0.0,1.0
2009-06-05,0.0,0.0,,1,0.0,0.0,1.0
2009-06-11,0.0,0.0,0.0,2,0.0,0.0,1.0
2009-06-17,0.3136095603307088,0.0,0.5431876922321248,3,0.3333333333333333,0.0,0.6666666666666666
2009-06-19,0.0,0.0,,1,0.0,0.0,1.0
2009-06-24,0.0,0.0,,1,0.0,0.0,1.0
2009-07-01,0.0,0.0,0.0,2,0.0,0.0,1.0
2009-07-02,0.0,0.0,,1,0.0,0.0,1.0
2009-07-08,0.0,0.0,,1,0.0,0.0,1.0
2009-07-09,0.0,0.0,,1,0.0,0.0,1.0
2009-07-13,0.0,0.0,,1,0.0,0.0,1.0
2009-07-31,0.0,0.0,,1,0.0,0.0,1.0
2009-08-05,-0.9995261430740356,-0.9995261430740356,,1,0.0,1.0,0.0
2009-08-07,0.0,0.0,,1,0.0,0.0,1.0
2009-08-11,-0.9765698313713074,-0.9765698313713074,,1,0.0,1.0,0.0
2009-08-13,0.0,0.0,,1,0.0,0.0,1.0
2009-08-14,0.0,0.0,,1,0.0,0.0,1.0
2009-08-19,0.0,0.0,,1,0.0,0.0,1.0
2009-08-31,0.0,0.0,,1,0.0,0.0,1.0
2009-09-01,0.0,0.0,,1,0.0,0.0,1.0
2009-09-02,0.0,0.0,,1,0.0,0.0,1.0
2009-09-08,1.0,1.0,,1,1.0,0.0,0.0
2009-09-09,0.5028334856033325,0.5028334856033325,,1,1.0,0.0,0.0
2009-09-10,0.0,0.0,,1,0.0,0.0,1.0
2009-09-11,0.49999988079071045,0.49999988079071045,0.7071066125991535,2,0.5,0.0,0.5
2009-09-14,-0.7522634863853455,-0.7522634863853455,,1,0.0,1.0,0.0
2009-09-16,0.0,0.0,,1,0.0,0.0,1.0
2009-09-18,-0.5661585330963135,-0.5661585330963135,,1,0.0,1.0,0.0
2009-09-22,0.49999988079071045,0.49999988079071045,0.7071066125991535,2,0.5,0.0,0.5
2009-09-23,0.6249690651893616,0.6249690651893616,,1,1.0,0.0,0.0
2009-09-25,-0.7848724126815796,-0.7848724126815796,,1,0.0,1.0,0.0
2009-09-28,0.0,0.0,0.0,2,0.0,0.0,1.0
2009-09-30,0.0,0.0,,1,0.0,0.0,1.0
2009-10-01,0.0,0.0,,1,0.0,0.0,1.0
2009-10-06,0.4999999403953552,0.4999999403953552,0.7071066968928506,2,0.5,0.0,0.5
2009-10-07,0.9999984502792358,0.9999984502792358,,1,1.0,0.0,0.0
2009-10-08,0.5022546052932739,0.5022546052932739,,1,1.0,0.0,0.0
2009-10-09,0.0,0.0,,1,0.0,0.0,1.0
2009-10-12,0.0,0.0,,1,0.0,0.0,1.0
2009-10-19,0.5491056442260742,0.5491056442260742,,1,1.0,0.0,0.0
2009-10-27,0.0,0.0,,1,0.0,0.0,1.0
2009-10-28,0.0,0.0,,1,0.0,0.0,1.0
2009-10-30,0.0,0.0,,1,0.0,0.0,1.0
2009-11-05,-0.4997657537460327,-0.4997657537460327,0.7067755069572519,2,0.0,0.5,0.5
2009-11-09,0.0,0.0,,1,0.0,0.0,1.0
2009-11-12,-0.9999654293060303,-0.9999654293060303,,1,0.0,1.0,0.0
2009-11-13,0.0,0.0,0.0,3,0.0,0.0,1.0
2009-11-23,-0.9421740174293518,-0.9421740174293518,,1,0.0,1.0,0.0
2009-11-24,0.0,0.0,,1,0.0,0.0,1.0
2009-11-25,0.49999475479125977,0.49999475479125977,0.7070993633412096,2,0.5,0.0,0.5
2009-11-27,0.0,0.0,,1,0.0,0.0,1.0
2009-12-03,0.0,0.0,,1,0.0,0.0,1.0
2009-12-07,0.0,0.0,,1,0.0,0.0,1.0
2009-12-10,0.0,0.0,,1,0.0,0.0,1.0
2009-12-14,0.9783358573913574,0.9783358573913574,,1,1.0,0.0,0.0
2009-12-15,0.0,0.0,0.0,2,0.0,0.0,1.0
2009-12-16,0.3222312927246094,0.0,0.558120970787623,3,0.3333333333333333,0.0,0.6666666666666666
2009-12-21,0.0,0.0,,1,0.0,0.0,1.0
2009-12-22,0.9999996423721313,0.9999996423721313,,1,1.0,0.0,0.0
2009-12-30,0.011563926935195923,0.011563926935195923,1.3976936414839165,2,0.5,0.5,0.0
2010-01-05,0.3333171208699544,0.0,0.5773221883793377,3,0.3333333333333333,0.0,0.6666666666666666
2010-01-06,-0.9216177463531494,-0.9216177463531494,,1,0.0,1.0,0.0
2010-01-07,0.0,0.0,,1,0.0,0.0,1.0
2010-01-11,0.0,0.0,,1,0.0,0.0,1.0
2010-01-13,-0.49603021144866943,-0.49603021144866943,0.7014926523775024,2,0.0,0.5,0.5
2010-01-14,0.0,0.0,,1,0.0,0.0,1.0
2010-01-20,0.0,0.0,,1,0.0,0.0,1.0
2010-01-28,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-02-02,0.0,0.0,,1,0.0,0.0,1.0
2010-02-04,0.0,0.0,,1,0.0,0.0,1.0
2010-02-05,-0.999869704246521,-0.999869704246521,,1,0.0,1.0,0.0
2010-02-08,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-02-12,0.0,0.0,,1,0.0,0.0,1.0
2010-02-18,0.6307867765426636,0.6307867765426636,,1,1.0,0.0,0.0
2010-02-23,-0.9999887943267822,-0.9999887943267822,,1,0.0,1.0,0.0
2010-02-26,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-03-01,0.0,0.0,,1,0.0,0.0,1.0
2010-03-02,0.0,0.0,,1,0.0,0.0,1.0
2010-03-05,0.49093061685562134,0.49093061685562134,0.6942807365414093,2,0.5,0.0,0.5
2010-03-08,0.0,0.0,,1,0.0,0.0,1.0
2010-03-09,-0.8754415512084961,-0.8754415512084961,,1,0.0,1.0,0.0
2010-03-10,0.0,0.0,,1,0.0,0.0,1.0
2010-03-12,0.0,0.0,,1,0.0,0.0,1.0
2010-03-15,0.7470816969871521,0.7470816969871521,,1,1.0,0.0,0.0
2010-03-22,0.0,0.0,,1,0.0,0.0,1.0
2010-03-24,0.0,0.0,,1,0.0,0.0,1.0
2010-04-01,-0.4996930956840515,-0.4996930956840515,0.7066727529405823,2,0.0,0.5,0.5
2010-04-05,0.48609042167663574,0.48609042167663574,0.687435666874755,2,0.5,0.0,0.5
2010-04-12,0.0,0.0,,1,0.0,0.0,1.0
2010-04-14,-0.20484869182109833,0.0,0.40969738364219666,4,0.0,0.25,0.75
2010-04-15,0.0,0.0,,1,0.0,0.0,1.0
2010-04-19,0.4999975562095642,0.4999975562095642,0.7071033251449697,2,0.5,0.0,0.5
2010-04-22,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-04-23,0.0,0.0,,1,0.0,0.0,1.0
2010-04-28,7.092952728271484e-06,7.092952728271484e-06,1.4142030256609672,2,0.5,0.5,0.0
2010-04-30,0.0,0.0,,1,0.0,0.0,1.0
2010-05-04,0.0,0.0,,1,0.0,0.0,1.0
2010-05-05,-0.9559893608093262,-0.9559893608093262,,1,0.0,1.0,0.0
2010-05-06,0.0,0.0,,1,0.0,0.0,1.0
2010-05-07,0.9298775792121887,0.9298775792121887,,1,1.0,0.0,0.0
2010-05-11,0.0,0.0,,1,0.0,0.0,1.0
2010-05-12,-0.32913055022557575,0.0,0.5700708353137974,3,0.0,0.3333333333333333,0.6666666666666666
2010-05-17,0.0,0.0,,1,0.0,0.0,1.0
2010-05-18,0.6094604730606079,0.6094604730606079,,1,1.0,0.0,0.0
2010-05-20,0.0,0.0,,1,0.0,0.0,1.0
2010-05-25,0.9710288047790527,0.9710288047790527,,1,1.0,0.0,0.0
2010-05-26,0.8716511726379395,0.8716511726379395,,1,1.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,3,0.0,0.0,1.0
2010-06-07,0.49979743361473083,0.49979743361473083,0.7068203090572189,2,0.5,0.0,0.5
2010-06-08,0.0,0.0,,1,0.0,0.0,1.0
2010-06-11,0.9814901053905487,0.9814901053905487,0.026171212023385182,2,1.0,0.0,0.0
2010-06-14,0.0,0.0,,1,0.0,0.0,1.0
2010-06-15,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-06-21,0.3332844575246175,0.0,0.577265613805669,3,0.3333333333333333,0.0,0.6666666666666666
2010-06-22,0.0,0.0,,1,0.0,0.0,1.0
2010-06-23,0.0,0.0,,1,0.0,0.0,1.0
2010-06-28,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-06-29,0.0,0.0,,1,0.0,0.0,1.0
2010-06-30,-0.33320297797520954,0.0,0.5771244870863166,3,0.0,0.3333333333333333,0.6666666666666666
2010-07-06,-0.484226256608963,-0.484226256608963,0.6847993393535501,2,0.0,0.5,0.5
2010-07-07,0.0,0.0,,1,0.0,0.0,1.0
2010-07-13,0.20997609198093414,0.29811757802963257,0.7640184957596212,4,0.5,0.25,0.25
2010-07-14,-0.4631896913051605,-0.4631896913051605,0.6550491433951653,2,0.0,0.5,0.5
2010-07-20,0.0,0.0,,1,0.0,0.0,1.0
2010-07-21,0.0,0.0,,1,0.0,0.0,1.0
2010-07-26,0.0,0.0,,1,0.0,0.0,1.0
2010-07-30,-0.4999431371688843,-0.4999431371688843,0.7070263649995887,2,0.0,0.5,0.5
2010-08-02,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-08-04,0.33333321412404376,0.0,0.5773500627130795,3,0.3333333333333333,0.0,0.6666666666666666
2010-08-06,-0.9999874830245972,-0.9999874830245972,,1,0.0,1.0,0.0
2010-08-09,0.0,0.0,,1,0.0,0.0,1.0
2010-08-10,0.0,0.0,,1,0.0,0.0,1.0
2010-08-11,0.0,0.0,,1,0.0,0.0,1.0
2010-08-17,0.0,0.0,,1,0.0,0.0,1.0
2010-08-24,0.0,0.0,,1,0.0,0.0,1.0
2010-08-27,-0.4999949336051941,-0.4999949336051941,0.7070996162223007,2,0.0,0.5,0.5
2010-08-30,0.4999843239784241,0.4999843239784241,0.7070846119442308,2,0.5,0.0,0.5
2010-09-03,0.0,0.0,0.0,3,0.0,0.0,1.0
2010-09-07,-0.8737646043300629,-0.8737646043300629,0.17852178555923046,2,0.0,1.0,0.0
2010-09-09,0.0,0.0,,1,0.0,0.0,1.0
2010-09-10,0.0,0.0,,1,0.0,0.0,1.0
2010-09-13,0.4999997615814209,0.4999997615814209,0.7071064440117595,2,0.5,0.0,0.5
2010-09-14,0.0,0.0,,1,0.0,0.0,1.0
2010-09-15,0.0,0.0,0.0,3,0.0,0.0,1.0
2010-09-17,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-09-20,-0.9999115467071533,-0.9999115467071533,,1,0.0,1.0,0.0
2010-09-21,0.0,0.0,,1,0.0,0.0,1.0
2010-09-22,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-09-24,0.0,0.0,0.0,4,0.0,0.0,1.0
2010-09-27,0.0,0.0,,1,0.0,0.0,1.0
2010-09-28,0.0,0.0,,1,0.0,0.0,1.0
2010-09-29,0.0,0.0,,1,0.0,0.0,1.0
2010-09-30,-0.14284937722342356,0.0,0.37794392707363317,7,0.0,0.14285714285714285,0.8571428571428571
